,Xn,||Xn - Xn-1||,F(Xn),|F(Xn) - F(Xn-1)|
0,[ 0 -3],14908.759740501555,111155570.0,2889444485.0
1,[ 0 -3],3144.503935440374,12343225.0,98812345.0
2,[ 0 -3],1047.2253816633743,1369010.0,10974215.0
3,[ 0 -3],349.31074990615446,151300.0,1217710.0
4,[ 0 -3],118.0889495253472,16015.0,135285.0
5,[ 0 -3],37.48332962798263,1700.0,14315.0
6,[ 0 -3],13.45362404707371,175.0,1525.0
7,[ 0 -3],5.0,10.0,165.0
8,[ 0 -3],0.0,10.0,0.0
9,,,,
10,[ 0 -2],14908.759740501555,20004.0,80011.0
11,[ 0 -2],3143.7967491553904,6666.0,13338.0
12,[ 0 -2],1047.2253816633743,2219.0,4447.0
13,[ 0 -2],347.8965363437814,743.0,1476.0
14,[ 0 -2],116.67476162392619,252.0,491.0
15,[ 0 -2],39.59797974644666,84.0,168.0
16,[ 0 -2],12.727922061357855,30.0,54.0
17,[ 0 -2],3.605551275463989,11.0,19.0
18,[ 0 -2],1.4142135623730951,5.0,6.0
19,[ 0 -2],1.4142135623730951,7.0,2.0
20,[ 0 -2],0.0,7.0,0.0
21,,,,
