,Xn,F(Xn),||F`(Xn)||
0,[10000 10000],3000600055.0,447253.84492478095
1,[-12728.97727273  -1365.34090909],2613094874.602272,419846.4268464646
2,[9742.20041322 6641.08987603],2291657246.132909,394362.3955908964
3,[-10638.87408434  -2669.30233377],2016995025.4080753,370541.0088629375
4,[9010.51488542 4890.4569947 ],1778495965.2207603,348213.4639065205
5,[-9128.69059808 -3009.5270281 ],1569647464.5289812,327257.3253589265
6,[8139.83146007 3885.48298678],1385970314.1441393,307574.69516229146
7,[-7944.24658935 -2948.78658529],1224074661.4491358,289081.7005972891
8,[7270.82520233 3238.73226394],1081218323.6350298,271703.36702374247
9,[-6964.52017888 -2734.31175098],955091207.2800661,255371.05306161803
10,[6458.70271181 2774.68366371],843702583.5852902,240021.10831296025
11,[-6128.67899225 -2473.26314056],745316100.9174776,225594.11791681952
12,[5721.49152895 2412.4994349 ],658407772.8870908,212034.4322599529
13,[-5403.49371068 -2210.79088547],581635718.8313804,199289.83850524767
14,[5061.433572   2113.80263507],513816483.2593193,187311.30564072623
15,[-4768.73878656 -1964.7406644 ],453905474.34318006,176052.77032099332
16,[4474.41861348 1859.39538728],400980287.6884647,165470.94764225118
17,[-4210.61049318 -1741.06711315],354226243.5736861,155525.15900287338
18,[3954.10461631 1638.86334499],312923730.2864588,146177.1730156614
19,[-3718.72333478 -1540.66390575],276437076.5182179,137391.05726328373
20,[3493.68229595 1445.91975364],244204744.95368868,129133.0395707744
21,[-3284.70784126 -1362.37686544],215730679.83989578,121371.37790368809
22,[3086.59919807 1276.307627  ],190576668.12178028,114076.23822221084
23,[-2901.52876853 -1204.32125088],168355593.35511383,107219.57974139982
24,[2726.82779765 1126.84353288],148725477.13865912,100775.04711847843
25,[-2563.13068293 -1064.44699583],131384215.72473827,94717.86913476608
26,[2408.93695606  994.97213983],116064930.52098683,89024.76347426864
27,[-2264.23520758  -940.77166465],102531860.80172473,83673.84722888128
28,[2128.08143299  878.55042184],90576735.36219819,78644.55278429438
29,[-2000.21102201  -831.46767749],80015567.25108105,73917.54876238223
30,[1879.95985499  775.73612905],70685822.24164717,69474.6657157672
31,[-1766.98088025  -734.88658916],62443917.459986515,65298.82628874439
32,[1660.76300038  684.92447301],55163011.672450915,61373.979576025966
33,[-1560.94920084  -649.55704596],48731053.22431722,57685.0394269509
34,[1467.12162216  604.70786699],43049055.587404326,54217.826457994845
35,[-1378.94243095  -574.17252457],38029573.97747834,50959.01355068034
36,[1296.05746531  533.84733652],33595359.5968112,47896.074625389614
37,[-1218.15829177  -507.57584634],29678170.79092244,45017.236494176956
38,[1144.93870916  471.25036849],26217722.823431112,42311.43360751344
39,[-1076.12179992  -448.74342563],23160760.10625983,39768.26552102107
40,[1011.44003269  415.95272525],20460236.606999356,37377.95691870864
41,[-950.64679874 -396.77043267],18074591.8200693,35131.320039048296
42,[893.50708131 367.10299427],15967111.15901761,33019.71935946782
43,[-839.80214494 -350.85727595],14105360.926527008,31035.038403514252
44,[789.32496345 323.94921319],12460689.166431604,29169.64854310404
45,[-741.88191356 -310.29747808],11007784.715958288,27416.37967594277
46,[697.29036983 285.82717626],9724287.672096645,25768.49266540603
47,[-655.37911071 -274.46688402],8590445.277254425,24219.65343694675
48,[615.98692119 252.15015844],7588807.928348981,22763.908631462185
49,[-578.96246632 -242.81409135],6703960.630976642,21395.6627220379
50,[544.16338045 222.39986187],5922285.765794424,20109.6565061111
51,[-511.45593956 -214.85198035],5231753.516137201,18900.946890382576
52,[480.7144008  196.11842869],4621736.731594039,17764.887890775244
