,Xn,F(Xn),||F`(Xn)||
0,[10000 10000],3000600055.0,447253.84492478095
1,[2499.4375 6249.4375],445448468.2421875,162996.454433256
2,[ -78.828125  4608.4609375],102785949.79766846,62996.17459447516
3,[-899.13623047 3758.59228516],49052742.93450117,30538.73177822516
4,[-1298.20507812  2685.17126465],26513404.24708791,18405.19777608514
5,[-393.37210083 1642.69662476],9389009.663244363,13360.695152973507
6,[-567.96472168 1173.07492828],5074839.3676066715,8052.27402703725
7,[-172.10029411  716.99227333],1797123.2167928666,5845.30412942591
8,[-248.48456573  511.53278112],971364.0586434641,3522.8698868287966
9,[-75.29387867 311.99661958],343988.7016517597,2557.3205566238357
10,[-108.71199751  222.10809174],185933.23778722555,1541.2555754875984
11,[-32.94107192 134.81102107],65849.67336303211,1118.827743522928
12,[-47.56149891  95.48479014],35596.86973271115,674.2993142758244
13,[-14.41171897  57.29232172],12612.124979642866,489.48713779128104
14,[-20.80815577  40.08709568],6821.549284776743,295.0059499956732
15,[-6.30512705 23.37789075],2422.1254843847673,214.15062278368544
16,[-9.10356815 15.85060436],1313.7731052892984,129.065103123107
17,[-2.75849308  8.5403272 ],471.6958934955219,93.69089746786238
18,[-3.98281107  5.24713941],259.5503209342798,56.46598261635931
19,[-1.20684072  2.04889315],98.37147961437724,40.98976764218979
20,[-1.74247984  0.60812349],57.76549111632699,24.7038673946572
21,[-0.52799282 -0.79110925],26.914853519939392,17.933023343458032
22,[-0.76233493 -1.42144597],19.142613533984463,10.807941985162525
23,[-0.23099686 -2.0336103 ],13.237608681550897,7.84569771276289
24,[-0.33352153 -2.30938261],11.749953371739213,4.7284746185086055
25,[-0.10106113 -2.5772045 ],10.619698536703101,3.432492749333765
26,[-0.14591567 -2.69785489],10.334952012559459,2.0687076455975157
27,[-0.04421424 -2.81502697],10.118614173040825,1.501715577833525
28,[-0.06383811 -2.86781152],10.064111908653956,0.9050595949489117
29,[-0.01934373 -2.9190743 ],10.022703494058597,0.6570005653021612
30,[-0.02792917 -2.94216754],10.012271420015795,0.39596357279014693
31,[-0.00846288 -2.96459501],10.004345590659655,0.28743774731969235
32,[-0.01221901 -2.9746983 ],10.002348826487397,0.17323406309568837
33,[-0.00370251 -2.98451032],10.000831773212196,0.12575401445236242
34,[-0.00534582 -2.98893051],10.000449580069855,0.07578990260436416
35,[-1.61984857e-03 -2.99322326e+00],10.000159206591396,0.05501738132291724
36,[-2.33879535e-03 -2.99515710e+00],10.000086052435247,0.03315808238941094
37,[-7.08683747e-04 -2.99703518e+00],10.000030473136635,0.024070104328775106
38,[-1.02322296e-03 -2.99788123e+00],10.000016470973934,0.014506661045367509
39,[-3.10049139e-04 -2.99870289e+00],10.000005832748808,0.010530670643837508
40,[-4.47660047e-04 -2.99907304e+00],10.000003152647354,0.006346664207349852
41,[-1.35646498e-04 -2.99943251e+00],10.000001116424576,0.0046071684066793
42,[-1.95851271e-04 -2.99959445e+00],10.000000603436408,0.002776665590714669
43,[-5.93453431e-05 -2.99975173e+00],10.000000213690642,0.0020156361779235773
44,[-8.56849309e-05 -2.99982257e+00],10.0000001155015,0.0012147911959378497
45,[-2.59635876e-05 -2.99989138e+00],10.000000040901721,0.0008818408278448743
46,[-3.74871573e-05 -2.99992238e+00],10.00000002210771,0.0005314711482229318
47,[-1.13590696e-05 -2.99995248e+00],10.000000007828847,0.00038580536218075703
48,[-1.64006313e-05 -2.99996604e+00],10.000000004231554,0.00023251862734722023
49,[-4.96959294e-06 -2.99997921e+00],10.000000001498488,0.00016878984595356886
50,[-7.17527619e-06 -2.99998514e+00],10.000000000809946,0.0001017268994642428
51,[-2.17419691e-06 -2.99999090e+00],10.00000000028682,7.38455576045009e-05
52,[-3.13918334e-06 -2.99999350e+00],10.000000000155028,4.450551851384549e-05
53,[-9.51211148e-07 -2.99999602e+00],10.0000000000549,3.2307431454660737e-05
54,[-1.37339271e-06 -2.99999716e+00],10.000000000029674,1.9471164350743122e-05
55,[-4.16154877e-07 -2.99999826e+00],10.00000000001051,1.4134501260417497e-05
56,[-6.00859310e-07 -2.99999876e+00],10.00000000000568,8.518634403800557e-06
57,[-1.82067759e-07 -2.99999924e+00],10.00000000000201,6.183844303775336e-06
58,[-2.62875948e-07 -2.99999946e+00],10.000000000001087,3.726902551523548e-06
59,[-7.96546445e-08 -2.99999967e+00],10.000000000000384,2.7054318839943757e-06
60,[-1.15008227e-07 -2.99999976e+00],10.000000000000208,1.6305198665304736e-06
61,[-3.48489069e-08 -2.99999985e+00],10.000000000000073,1.1836264475751812e-06
62,[-5.03160994e-08 -2.99999990e+00],10.000000000000039,7.133524400804605e-07
63,,,
