,Xn,F(Xn),||F`(Xn)||
0,[10000 10000],3000600055.0,447253.84492478095
1,[-1765.62976603  4116.74393896],58883762.402793355,26320.191366519583
2,[196.23992375 193.29879572],1155544.308149254,8776.906042385115
3,[-34.64870507  77.84582364],22686.196451886386,516.5072346786179
4,[3.85101077 0.85216607],454.9975062601702,172.23793724967953
5,[-0.67994592 -1.41348217],18.732627669632738,10.13593403483684
6,[ 0.07557221 -2.92440512],10.171369018800355,3.379995967229999
7,[-0.01334325 -2.96886619],10.003362944318203,0.19890749221054993
8,[ 1.48302361e-03 -2.99851652e+00],10.000065994393657,0.06632899368337365
9,[-2.61846272e-04 -2.99938902e+00],10.000001295107865,0.0039033995026206067
10,[ 2.90922418e-05 -2.99997093e+00],10.00000002538048,0.001300807695918151
11,[-5.12793528e-06 -2.99998803e+00],10.000000000496824,7.645128922743443e-05
12,[ 5.67845725e-07 -2.99999943e+00],10.000000000009651,2.5369810040111116e-05
13,[-9.95858078e-08 -2.99999977e+00],10.000000000000187,1.4853092269395783e-06
14,[ 1.07581700e-08 -2.99999999e+00],10.000000000000004,4.842381581255378e-07
15,,,
